num_age,num_annual_income,num_contract_tenure_years,num_years_with_license,num_vehicle_age,num_annual_mileage,num_previous_claims_count,num_late_payments_count,num_credit_score,num_household_size,num_insured_value,num_monthly_premium,cat_region,cat_vehicle_type,cat_fuel_type,cat_coverage_level,cat_payment_frequency,cat_home_ownership,cat_profession_segment,cat_prior_fraud_flag,text_feature,target,num_irrelevant_0,num_irrelevant_1,num_irrelevant_2,num_irrelevant_3,num_irrelevant_4,num_duplicate_0,num_duplicate_1,num_constant_0,num_collinear_0,num_collinear_1,num_collinear_2
62.0,40950.70256698228,22.0,39.0,,18883.42865631125,1.0,2.9781243624524825,776.6369827009235,,12015.999226965754,70.27519875357025,periurbain,citadine,electrique,tiers_plus,mensuel,locataire,cadre,,"L'ancienneté contractuelle contribue à un profil plutôt maîtrisé. Le profil de conduite est rapproché d'un usage intensif. Mots-clés dossier : avenant, risque, responsable. Le client présente un comportement de paiement régulier. Le véhicule assuré présente une ancienneté intermédiaire. Les informations contractuelles sont cohérentes avec la demande en cours. Le gestionnaire a intégré les mises à jour du profil assuré.",0,,,-1.5542310928653957,1.2059195429288465,-0.3375433593704977,62.000705193465805,40950.70257368931,1.0,53.97395435000612,35841.14719838938,19.503959119808705
80.0,34975.53683970107,,62.0,2.0,,0.0,0.0,640.4974037180336,3.0,2000.0,106.76075540612945,urbain,utilitaire,essence,tous_risques,mensuel,locataire,cadre,non,"L'ancienneté du contrat peut être qualifiée de ancienne. Le gestionnaire a intégré les mises à jour du profil assuré. Le niveau de garantie demandé correspond à une formule tous_risques. Le véhicule couvert est de type utilitaire. Le client réside principalement en zone urbain. L'historique de sinistres est décrit comme sans antécédent récent. Mots-clés dossier : token_45, token_40, token_44. Le gestionnaire a intégré les mises à jour du profil assuré.",0,0.19253777882211023,-0.11647457490218652,2.318812853475688,0.854579268452726,,79.99975005749083,34975.53688801228,1.0,69.73794583597201,30009.301611259485,5.777234849360372
,,,,18.0,12165.834792454909,2.0,0.0,647.3406221138855,,14150.516354431968,73.13860239027213,periurbain,sport,hybride,tiers,mensuel,,etudiant,non,"Le type de contrat principal ressort comme auto. Mots-clés dossier : token_64, token_28, paiement. Le profil ressort comme plus exposé que la moyenne du portefeuille. Les informations disponibles sont compatibles avec une analyse automatisée. Le niveau de risque estimé est supérieur au standard de souscription.",1,,0.4336906755360725,,,0.49317824118043707,,,1.0,44.39644933262832,,-0.0024126349598592167
59.0,44551.19797715462,24.0,41.0,4.0,22092.360394459407,2.0,1.0,503.5690416502773,,,96.76711208508156,rural,citadine,electrique,tiers,trimestriel,locataire,employe,,"Mots-clés dossier : token_12, token_13, token_49. Le type de contrat principal ressort comme auto. Le dossier a fait l'objet d'une revue selon le processus standard. Le contexte socioprofessionnel est associé à la catégorie employe. L'historique de sinistres est décrit comme répété. Les informations disponibles sont compatibles avec une analyse automatisée.",1,-1.1287865333307971,-1.7952425366793485,-1.2410686469096834,-0.3325837445716212,-0.914604421554981,58.999432610081605,44551.197990354354,1.0,,39956.34293478296,22.25832927948968
84.0,,7.0,60.0,19.0,10755.839894487064,1.0,0.0,655.4958409990205,3.0,23187.70819792001,74.25293628893978,urbain,citadine,diesel,tous_risques,mensuel,,cadre,non,"Le client réside principalement en zone urbain. Le gestionnaire a intégré les mises à jour du profil assuré. Les éléments déclaratifs ont été consolidés dans le dossier. Mots-clés dossier : token_51, token_0, token_9. Les informations contractuelles sont cohérentes avec la demande en cours. Le contexte socioprofessionnel est associé à la catégorie cadre.",0,0.08499375877693982,-0.5650373913055382,2.9538831574744644,-0.43960890274397413,1.0562960876352576,84.00045405866754,49031.49844846043,1.0,235.61583353293062,44229.59394431207,6.663256380996282
67.0,,,44.0,4.0,25456.32611408701,0.0,0.0,475.2655734222775,1.0,14427.511644056252,58.2781630172453,urbain,citadine,essence,,,locataire,cadre,non,"Les éléments déclaratifs ont été consolidés dans le dossier. Le dossier a fait l'objet d'une revue selon le processus standard. Le profil de conduite est rapproché d'un usage intensif. Le type de contrat principal ressort comme auto. Les éléments déclaratifs ont été consolidés dans le dossier. La fiche client a été révisée lors du dernier contrôle qualité. Le véhicule couvert est de type citadine. Mots-clés dossier : token_35, token_6, token_29.",0,-0.3533067800303922,-0.497831063142984,0.8876781362127958,-1.1320868689091066,1.3099345085580307,66.99972139504158,46881.27648114532,1.0,63.89891177992857,42714.71723191625,
60.0,,22.0,39.0,,18646.638778974604,2.0,0.0,,1.0,11985.071849464464,72.9971952088354,urbain,,hybride,,mensuel,locataire,,non,"Mots-clés dossier : token_5, token_38, token_27. Aucun élément majeur de vigilance n'est identifié à ce stade. L'ancienneté du contrat peut être qualifiée de ancienne. Le niveau de garantie demandé correspond à une formule tiers_plus. Le risque observé reste contenu dans les standards du portefeuille.",0,0.3628770660414008,-0.13893710587021968,0.6229118298250984,0.6742095110825042,-0.1120560110042169,60.00081901319188,8001.452484284053,1.0,54.325991857733136,6391.175998467661,20.91872129566248
54.0,28713.518539930134,,35.0,,9158.468709478722,2.0,,471.8301043522972,1.0,,94.61382699577274,,suv,essence,tiers_plus,,locataire,cadre,non,"La fiche client a été révisée lors du dernier contrôle qualité. La fiche client a été révisée lors du dernier contrôle qualité. Le kilométrage annuel déclaré est modéré. Mots-clés dossier : token_73, token_32, token_5. Le dossier a fait l'objet d'une revue selon le processus standard. Le client réside principalement en zone periurbain. Le gestionnaire a intégré les mises à jour du profil assuré.",1,,-1.3182323657639636,,0.30393404966747556,-0.05213114077981377,,28713.519227591365,1.0,51.72501512982302,,
,,14.0,,16.0,1777.5105837858846,0.0,,818.4577009033034,2.0,25589.419209466683,70.94078587972379,urbain,utilitaire,hybride,tiers_plus,annuel,locataire,employe,,"Le client présente un comportement de paiement régulier. Mots-clés dossier : token_78, token_1, token_71. Les informations contractuelles sont cohérentes avec la demande en cours. Le client présente un comportement de paiement régulier. Le dossier de souscription est associé à un canal web.",0,-9.652229409603816,0.7600967580891306,-0.7487972174783573,0.26305369533471423,0.6338911248539224,,164892.0179870054,1.0,52.07385185846897,42594.29649829206,11.689316007911813
81.0,44246.35717883313,15.0,54.0,20.0,12780.0775882023,0.0,,,3.0,16623.575074280216,43.33035434909883,urbain,suv,hybride,tiers_plus,mensuel,locataire,,non,,0,,-1.5775516786777117,1.3904464298648174,0.014158884816449013,-0.736573737715496,,44246.35746304369,1.0,69.89822589566819,,14.241630551964953
36.0,46876.96962087588,23.0,7.0,,,-0.03248458364887254,,,2.0,,,periurbain,citadine,hybride,tous_risques,mensuel,proprietaire,sans_emploi,,"Le niveau de paiement observé est régulier. La fiche client a été révisée lors du dernier contrôle qualité. Mots-clés dossier : kilométrage, token_17, token_26. Le gestionnaire a intégré les mises à jour du profil assuré. Le gestionnaire a intégré les mises à jour du profil assuré.",0,,1.5071459126544662,0.3486893230192554,1.3082757755470742,,35.998672488456535,46876.96877021287,1.0,31.396032824680855,42509.93221118418,19.903686462587014
73.0,41029.62412831082,7.0,53.0,16.0,7311.499981191775,1.0,0.0,735.4608289660267,6.0,23916.996934689,100.04516002522952,urbain,suv,electrique,,annuel,proprietaire,,,"La fiche client a été révisée lors du dernier contrôle qualité. L'ancienneté du contrat peut être qualifiée de intermédiaire. Le niveau de garantie demandé correspond à une formule tous_risques. Les informations disponibles sont compatibles avec une analyse automatisée. Mots-clés dossier : surprime, token_6, token_10.",0,,-0.5649006772823285,-0.9919615891250052,-0.9011500796603421,0.8677006464624804,72.99887346189239,41029.62488068546,1.0,67.61906218297513,,
,22343.41116301717,2.0,36.0,17.0,16262.218309141264,2.0,0.0,690.1987732575517,,,168.85415900225703,periurbain,,essence,,,proprietaire,,,"Les informations disponibles sont compatibles avec une analyse automatisée. Mots-clés dossier : cotisation, tarification, responsable. La fiche client a été révisée lors du dernier contrôle qualité. L'ancienneté du contrat peut être qualifiée de intermédiaire. Les informations contractuelles sont cohérentes avec la demande en cours. Le dossier a fait l'objet d'une revue selon le processus standard. L'historique de sinistres est décrit comme répété.",1,1.585493585181321,0.23860763761415835,0.10787068291821185,0.5481749261854538,-1.1651381981642372,62.99959091576695,22343.409179738355,1.0,57.356759978418644,22328.534643636063,
,,21.0,0.0,14.0,12626.177755624707,,0.0,844.1590251246733,6.0,,83.94701766665665,rural,suv,,tiers,mensuel,proprietaire,retraite,non,"La fiche client a été révisée lors du dernier contrôle qualité. Le dossier a fait l'objet d'une revue selon le processus standard. La fiche client a été révisée lors du dernier contrôle qualité. L'historique de sinistres est décrit comme répété. Mots-clés dossier : token_57, historique, token_32. Le kilométrage annuel déclaré est modéré. La fiche client a été révisée lors du dernier contrôle qualité. La fiche client a été révisée lors du dernier contrôle qualité.",1,-0.31160240768079117,,,-0.32039585428483935,-2.396660997210335,17.999387836214144,55561.03323851524,1.0,17.624920092201744,50684.887954152604,18.733120025523636
44.0,14246.578012587677,5.0,25.0,16.0,14726.529018933035,0.0,,,4.0,,101.28606967823424,periurbain,citadine,electrique,tiers_plus,,proprietaire,etudiant,,"La fiche client a été révisée lors du dernier contrôle qualité. Le profil de conduite est rapproché d'un usage classique. Les informations contractuelles sont cohérentes avec la demande en cours. Le dossier a fait l'objet d'une revue selon le processus standard. Mots-clés dossier : ancienneté, souscription, token_22. Les informations contractuelles sont cohérentes avec la demande en cours. Les éléments déclaratifs ont été consolidés dans le dossier. Le dossier a fait l'objet d'une revue selon le processus standard.",1,-1.1005149113853034,-1.3541164991955716,-1.7629276943595846,-0.2512009432324972,,43.9977832269154,,,38.685853873763534,12973.633809910263,3.5805450263875556
,51772.124678779815,1.0,55.0,25.155491584310454,18060.84382647601,2.0,0.0,,4.0,26388.663485927333,53.08741620585812,,berline,diesel,tiers,mensuel,proprietaire,sans_emploi,,,1,2.79260029661034,0.4576113559456308,0.9737124024549351,,0.4429350425447278,76.00176691003611,51772.123983046375,1.0,67.54659673033144,47745.85262653829,
206.6809311532346,,11.0,31.0,14.0,12912.143488760259,0.0,0.0,634.5307158194953,,11601.463210730359,90.99965425154403,urbain,suv,hybride,tiers,mensuel,locataire,independant,non,"Le dossier de souscription est associé à un canal web. Le gestionnaire a intégré les mises à jour du profil assuré. Mots-clés dossier : sinistre, token_38, token_20. Le profil de conduite est rapproché d'un usage classique. Le gestionnaire a intégré les mises à jour du profil assuré.",0,-0.28868770317759074,0.5909862539681126,0.7830442296243499,0.41710281999711213,-1.4390976748778315,55.00122945477061,,1.0,,31133.424953131595,11.323802473811906
20.0,,23.0,0.0,2.0,,,0.0,1937.4117731973365,,7898.557574108569,78.03743114091044,urbain,citadine,,tiers,mensuel,,independant,non,"Le profil de conduite est rapproché d'un usage intensif. Les informations disponibles sont compatibles avec une analyse automatisée. La fiche client a été révisée lors du dernier contrôle qualité. Le véhicule couvert est de type citadine. Les éléments déclaratifs ont été consolidés dans le dossier. Mots-clés dossier : token_61, token_2, token_35.",0,-1.9669161082148456,,0.7305200431020527,0.15493779687550416,1.1177017380629741,19.99902656542541,,1.0,15.666506826558019,11418.895254321726,21.90880566120017
,94120.66554823978,19.0,45.0,,,0.0,,554.917855985751,3.0,26949.712650683676,56.30965250199944,rural,utilitaire,hybride,tous_risques,mensuel,proprietaire,cadre,non,"Le dossier a fait l'objet d'une revue selon le processus standard. Le profil semble stable au regard de l'historique disponible. Le profil semble stable au regard de l'historique disponible. Le type de contrat principal ressort comme auto. Mots-clés dossier : dossier, token_62, token_19.",0,-0.5940456410405011,-0.6486313097049282,,1.120482316181025,0.15954716307503883,70.00139000531051,29661.45981684134,1.0,61.19198645625969,28802.427292350334,16.244086769861916
67.0,55260.02794427305,2.0,38.0,18.0,10839.561808531304,1.0,0.0,668.641429625312,4.0,,,urbain,berline,hybride,tiers_plus,annuel,proprietaire,employe,non,"Le client réside principalement en zone urbain. Le dossier de souscription est associé à un canal web. Les informations contractuelles sont cohérentes avec la demande en cours. Les éléments déclaratifs ont été consolidés dans le dossier. Mots-clés dossier : token_71, gestionnaire, token_34.",0,0.9822454969238016,-0.7359954132415285,1.2438014328671627,1.5310482868418243,0.7402881070470864,67.00060611011222,55260.02811399373,1.0,60.28172803219335,49190.28401529025,2.2942958262361355
75.0,26585.57328271187,24.0,47.0,19.0,26402.697870584,2.0,0.0,569.0075983132917,6.0,13042.310487599158,49.54551797485837,periurbain,suv,diesel,tous_risques,,proprietaire,,non,"Le dossier a fait l'objet d'une revue selon le processus standard. Mots-clés dossier : token_74, token_31, tarification. Le niveau de garantie demandé correspond à une formule tous_risques. Les informations disponibles sont compatibles avec une analyse automatisée. Le gestionnaire a intégré les mises à jour du profil assuré.",1,-0.6732259590233152,-1.2669072545712652,1.4918965020380797,1.5949612362809997,,74.99885953373443,26585.57294019966,,66.19752646258216,24314.845143656235,20.606506017566545
29.0,16630.361650970775,24.0,11.0,1.0,15483.171672084729,0.0,1.0,654.3147860474418,2.0,23868.056303180885,38.28058118188422,periurbain,citadine,hybride,tiers_plus,,proprietaire,retraite,non,,0,-2.7847449100733543,0.3924673772367731,,0.7311449817935106,,29.000154400335266,16630.360851595153,1.0,24.903251807447976,15031.138042406319,22.147683499563826
,31379.355459859125,15.0,4.0,6.0,8202.190076769995,2.0,0.0,532.2773718924714,6.0,21874.577506679107,100.1643564095954,urbain,,,tiers,,locataire,employe,non,"Le niveau de paiement observé est régulier. Mots-clés dossier : token_52, token_12, token_2. Les éléments déclaratifs ont été consolidés dans le dossier. Le gestionnaire a intégré les mises à jour du profil assuré. Le dossier a fait l'objet d'une revue selon le processus standard. Le gestionnaire a intégré les mises à jour du profil assuré. Les informations disponibles sont compatibles avec une analyse automatisée. Les informations disponibles sont compatibles avec une analyse automatisée.",1,,0.010303689281280979,-0.2086516015979837,-1.852112378656536,-2.7033751808080613,24.000567046853742,31379.356362026785,,,28500.127479082374,14.301864183477827
,22910.800663335103,1.0,50.0,3.0,,,1.0,672.8983105214664,2.0,23144.084981889227,149.20725014274294,rural,citadine,,tiers_plus,mensuel,proprietaire,employe,non,,1,-0.4508414664928162,0.7553731698201754,,-0.6840847724937427,,76.00149689277667,,1.0,68.61760762440494,21447.436388793107,2.245695722848387
19.0,15990.400332342524,11.0,1.0,6.0,25783.38011330275,0.0,1.0,,3.0,11431.158744147288,,urbain,suv,electrique,tiers,annuel,,independant,non,"Mots-clés dossier : token_17, token_38, token_65. Les éléments déclaratifs ont été consolidés dans le dossier. Le kilométrage annuel déclaré est élevé. Le client réside principalement en zone urbain. La fiche client a été révisée lors du dernier contrôle qualité. Le niveau de garantie demandé correspond à une formule tiers. Le dossier a fait l'objet d'une revue selon le processus standard. Le niveau de paiement observé est globalement correct.",0,0.4063841847561773,,0.46356718846116185,-0.7755756510707558,,19.001184923264383,15990.401533997718,,21.59907489287407,15498.869349488437,10.268336204694883
54.0,43000.604035631535,19.0,33.0,11.0,19332.782480427777,0.0,0.0,,6.0,28688.562355522263,,,berline,hybride,,mensuel,proprietaire,,non,,0,-0.5262639874673193,-0.5260150243446299,,-1.1579245239901788,,53.99985032744697,159789.40829622504,1.0,,,16.08019598541006
,48770.756921564884,,0.0,11.0,53648.97518947032,,0.0,641.8640398611313,3.0,18599.364857260567,98.23442983578671,periurbain,suv,essence,tiers,annuel,,independant,,,1,0.29348486024467996,,-0.7082606372457674,0.6942357507641649,-2.0008314919825523,22.999609444765447,48770.75775820704,,,44392.85209651862,6.527185027935468
38.0,27172.297324942047,3.0,19.0,11.0,9615.261983060373,1.0,1.0,,2.0,7465.163881230525,,periurbain,berline,diesel,tiers_plus,mensuel,locataire,etudiant,non,"Les informations contractuelles sont cohérentes avec la demande en cours. Le kilométrage annuel déclaré est modéré. Les informations contractuelles sont cohérentes avec la demande en cours. Le véhicule couvert est de type berline. Mots-clés dossier : token_26, token_59, sévérité. Les informations contractuelles sont cohérentes avec la demande en cours. L'ancienneté du contrat peut être qualifiée de intermédiaire.",0,0.36141740922611826,-1.5372312074321297,-0.19543258806348993,-0.961141012264032,1.019037137670239,37.99932803257352,27172.295487920805,1.0,32.70344684836116,24576.308687897817,
50.0,44377.96677831817,19.0,24.0,,22071.152124510518,1.0,2.0,,,16245.990182494777,84.63292480695,urbain,,hybride,tous_risques,mensuel,proprietaire,,non,"Mots-clés dossier : token_69, analyse, fréquence. La fiche client a été révisée lors du dernier contrôle qualité. Le véhicule assuré présente une ancienneté élevée. Les éléments déclaratifs ont été consolidés dans le dossier. Le gestionnaire a intégré les mises à jour du profil assuré. Le type de contrat principal ressort comme auto.",1,0.053911062322536236,-1.0887101053204522,-1.4213774118141773,1.9655067110793785,,50.00044351622717,44377.96565417548,1.0,41.97084085994732,40729.63629779373,16.3252143567254
46.0,29807.56776128764,3.0,26.0,20.0,6132.711293573746,0.0,,527.8918195504687,5.0,12184.878300725439,79.45145324781777,,,,tous_risques,annuel,,,non,"L'ancienneté du contrat peut être qualifiée de intermédiaire. Le dossier a fait l'objet d'une revue selon le processus standard. Mots-clés dossier : token_36, token_10, token_16. Le dossier a fait l'objet d'une revue selon le processus standard. Les éléments déclaratifs ont été consolidés dans le dossier. Le dossier de souscription est associé à un canal web. Le dossier de souscription est associé à un canal web. Le kilométrage annuel déclaré est faible.",0,-0.6261337051627117,1.3859529450179215,1.0808160660726343,,-0.11996138270724231,45.99925851317279,29807.566635871804,1.0,,26910.05916799025,1.9070825952943005
45.0,34404.57393349088,24.0,25.0,1.0,,1.0,-0.8662973239527136,552.8995122855144,,25352.67994694465,31.472375242882798,periurbain,citadine,,tiers,mensuel,,,,"Le gestionnaire a intégré les mises à jour du profil assuré. Les informations contractuelles sont cohérentes avec la demande en cours. Le véhicule couvert est de type citadine. Le niveau de paiement observé est régulier. Le niveau de paiement observé est régulier. Mots-clés dossier : token_51, token_15, usage. La fiche client a été révisée lors du dernier contrôle qualité.",0,-0.052175497838235045,0.13309226842406097,-1.089156033993315,-0.26488219399777774,0.682968600109904,,34404.574542588816,1.0,40.96513557196346,29961.772789605693,21.963599045060707
19.0,37974.4385758811,9.0,,7.0,19683.4000215426,2.0,1.0,854.6706982092721,1.0,,68.26081542606418,rural,,hybride,tiers,mensuel,locataire,sans_emploi,non,"Le dossier a fait l'objet d'une revue selon le processus standard. Les informations disponibles sont compatibles avec une analyse automatisée. Mots-clés dossier : token_76, vigilance, token_68. Le niveau de paiement observé est globalement correct. Le dossier a fait l'objet d'une revue selon le processus standard.",1,,-0.5691518998489594,-0.04848852290495901,0.5374244944614147,-0.2893769345686566,19.000203494884875,,1.0,12.720926959993058,33250.15129253604,7.598877505750428
18.0,,14.0,0.0,,21838.416072367425,1.0,1.0,692.3238398522931,5.0,14886.828496014572,68.32055470903984,urbain,berline,essence,tiers,,proprietaire,employe,non,,1,-0.7959435736934697,-1.3504601650580037,,1.1239326082301908,,17.999085096555326,59892.53754757127,1.0,14.058984265683291,55066.61798522713,11.927586643879604
,44120.941842752465,2.0,1.0,16.0,9055.996646326235,,0.0,664.0732441487918,2.0,12016.422561323567,,urbain,,essence,tiers_plus,mensuel,locataire,retraite,non,"Mots-clés dossier : professionnel, retard, token_16. Les éléments déclaratifs ont été consolidés dans le dossier. Le dossier a fait l'objet d'une revue selon le processus standard. Le véhicule couvert est de type utilitaire. Le kilométrage annuel déclaré est modéré. Le type de contrat principal ressort comme auto.",1,-1.5132928281180071,,-0.5933956913024957,,,26.001239169056422,,1.0,,40544.22619643694,2.158042715502937
18.0,20014.1902633618,4.0,,13.0,14735.686782332932,1.0,,,2.0,29789.149880162586,76.04918993832848,urbain,utilitaire,essence,tous_risques,,,independant,non,"Le dossier a fait l'objet d'une revue selon le processus standard. Le type de contrat principal ressort comme auto. Le profil ressort comme plus exposé que la moyenne du portefeuille. Mots-clés dossier : token_10, token_1, token_17. Le niveau de risque estimé est supérieur au standard de souscription. Le gestionnaire a intégré les mises à jour du profil assuré.",1,0.0561644854154325,-0.9263512018750532,,-1.8670891179835516,1.2410837558617498,17.999079688535993,20014.189630804274,1.0,18.198501231648365,,
63.0,44253.26777199995,0.0,37.0,,15506.598216398525,3.0,2.0,,1.0,14419.38467918254,,urbain,,essence,tiers,annuel,locataire,,,"Les informations disponibles sont compatibles avec une analyse automatisée. Les éléments déclaratifs ont été consolidés dans le dossier. Les informations disponibles sont compatibles avec une analyse automatisée. Les informations disponibles sont compatibles avec une analyse automatisée. Mots-clés dossier : token_69, véhicule, retard.",1,1.2412816402343436,0.5940714331665531,0.14816748400368487,-1.7830835512925558,-0.7956684926792893,,44253.26726025034,,55.94544684638485,40927.199898299856,-0.40887538183909333
,32460.987676212277,,24.0,16.0,14422.08015934658,1.0,0.0,742.9663571237588,5.0,18677.76938003127,,periurbain,citadine,,tiers_plus,annuel,,,non,"Le véhicule couvert est de type citadine. Les informations disponibles sont compatibles avec une analyse automatisée. L'ancienneté du contrat peut être qualifiée de ancienne. Le dossier a fait l'objet d'une revue selon le processus standard. Le niveau de garantie demandé correspond à une formule tiers_plus. Les informations disponibles sont compatibles avec une analyse automatisée. Le dossier de souscription est associé à un canal web. Mots-clés dossier : token_72, dossier, non_responsable.",0,-1.1999598514719418,,-0.9617015022620733,0.08595709512476858,-1.1653840150458148,53.00007868852091,32460.986650101244,1.0,44.295320889811805,,23.02484762982556
62.0,,,43.0,0.0,15650.836507363854,1.0,-0.20210698917007217,827.7601670214699,6.0,,38.36929654368002,,,diesel,tous_risques,annuel,proprietaire,etudiant,,"Le profil de conduite est rapproché d'un usage classique. Les informations disponibles sont compatibles avec une analyse automatisée. Le gestionnaire a intégré les mises à jour du profil assuré. Mots-clés dossier : résiliation, token_79, déclaration. Le gestionnaire a intégré les mises à jour du profil assuré. Les éléments déclaratifs ont été consolidés dans le dossier.",0,1.1364852646439014,,0.590374528926996,1.2103323462596138,,,28538.232150191572,1.0,53.295420144976255,27170.456938943124,1.2014820911476591
